family,run,last_batch,eval_final_reward_last,eval_final_reward_best,best_step,eval_action_ppl_last,n_evals
act_prm_tau2_airline,airline_s1relabel_base_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=7-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-am=best-swb=1-c38914e4,6,0.4123,0.4123,6,,1
act_prm_tau2_airline,airline_s1relabel_base_last-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=7-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-am=best-swb=1-sg-19b40cf8,6,0.3966,0.3966,6,,1
act_prm_tau2_airline,airline_s1relabel_policy_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=40-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-am=best-sw-da74b079,10,0.4301,0.4301,10,,1
act_prm_tau2_airline,airline_s1relabel_policy_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=7-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-am=best-swb-c255040b,6,0.4113,0.4113,6,,1
act_prm_tau2_airline,airline_s1relabel_policy_last-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=7-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-am=best-swb=0--8d5648c8,6,0.4166,0.4166,6,,1
act_prm_tau2_airline,airline_s2_actions_only_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0_-1a2bc757,59,0.3886,,,,12
act_prm_tau2_airline,airline_s2_actions_only_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf-c3fb60d8,59,0.4701,,,,12
act_prm_tau2_airline,airline_s2_expert_thoughts_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-ke-b6ec8a3a,59,0.3464,,,,12
act_prm_tau2_airline,airline_s2_expert_thoughts_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-187c7c16,59,0.412,,,,12
act_prm_tau2_airline,airline_s2_thoughts_base_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0-bb7db89f,59,0.312,,,,12
act_prm_tau2_airline,airline_s2_thoughts_base_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-n-a0ddf070,59,0.3459,,,,12
act_prm_tau2_airline,airline_s2_thoughts_base_last_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-eca75100,59,0.303,,,,12
act_prm_tau2_airline,airline_s2_thoughts_base_last_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-g-2690fce0,59,0.3279,,,,12
act_prm_tau2_airline,airline_s2_thoughts_policy_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp-2fbd61c6,59,0.2916,,,,12
act_prm_tau2_airline,airline_s2_thoughts_policy_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-d4e905af,59,0.3185,,,,12
act_prm_tau2_airline,airline_s2_thoughts_policy_last_heldout-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf-427f01a0,59,0.3048,,,,12
act_prm_tau2_airline,airline_s2_thoughts_policy_last_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-7b927a6c,59,0.3367,,,,12
act_prm_tau2_airline,sft_smoke-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm_actions_only-tc=sft-rbc=default-nb=2-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0_15-ho=1-gs=2-bs=2-s=42-r=0-vr=0,1,0.3869,,,,2
tau2bench_airline,airline_rl_actions_only-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=20-mt=2048-ba10c932,90,0.2222,0.3333,60,,17
tau2bench_airline,airline_rl_actions_only-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=8-mt=2048-g-b7a53ce9,4,,,,,0
tau2bench_airline,airline_rl_base-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=20-mt=2048-gs=4-bs-645d89d7,80,0.0,0.4444,50,,15
tau2bench_airline,airline_rl_base-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=8-mt=2048-gs=4-bs=2-c8468bf1,0,,,,,0
tau2bench_airline,airline_rl_expert_thoughts-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=20-mt=2-adfcccdb,17,0.1111,0.1111,10,,2
tau2bench_airline,airline_rl_expert_thoughts-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=8-mt=204-b019a925,5,0.1111,0.1111,5,,1
tau2bench_airline,airline_rl_smoke-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=1-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-ntt=2-ntt=1-mt=4-mt=1024-gs=2-bs=1-s=42-r=0-vr=0,0,-1.0,-1.0,0,,2
tau2bench_airline,airline_rl_thoughts_base-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=8-mt=2048--9295a8e0,4,,,,,0
tau2bench_airline,airline_rl_thoughts_policy-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=20-mt=2-bc99f4f4,27,-0.1111,0.2222,10,,4
tau2bench_airline,airline_rl_thoughts_policy-act-prm-ia=0-rr=0-ec=tau2bench_airline-gc=hf_grpo-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=8-mt=204-03446914,4,,,,,0
tau2bench_airline_rlvr,airline_rlvr_actions_only-act-prm-ia=0-rr=0-ec=tau2bench_airline_rlvr-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=30--a3f4d4bb,42,0.5556,0.7222,30,,8
tau2bench_airline_rlvr,airline_rlvr_base-act-prm-ia=0-rr=0-ec=tau2bench_airline_rlvr-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=30-mt=2048--aa0275c1,40,0.5,0.7222,10,,7
tau2bench_airline_rlvr,airline_rlvr_expert_thoughts-act-prm-ia=0-rr=0-ec=tau2bench_airline_rlvr-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=-d147b808,13,0.3889,0.3889,10,,2
tau2bench_airline_rlvr,airline_rlvr_thoughts_policy-act-prm-ia=0-rr=0-ec=tau2bench_airline_rlvr-gc=hf_grpo-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=-94fc3dca,13,0.4444,0.4444,10,,2
tau2bench_airline_rlvr,airline_rlvr_thoughts_policy-act-prm-ia=0-rr=0-ec=tau2bench_airline_rlvr-gc=hf_rlvr-tc=pg-rbc=default-nb=100-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-bm=final_reward-mt=-ca5393d5,27,0.5556,0.6111,10,,4
